tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains
10173,5,1912700,108500,114800,54200,43300,36100,1611600,200
10174,5,1846300,80800,131500,54500,43700,35400,1531900,200
10175,5,1483100,87300,124900,50500,42600,33600,1203900,100
10176,5,1432600,75800,102300,43000,40000,31700,1190800,200
10177,5,1469000,90000,94600,68000,43300,36000,1194400,100
10178,5,1349000,107100,94700,53600,43100,36100,1046600,100
10179,5,1822100,108100,116500,58800,40800,36100,1511500,200
10180,5,1624900,83800,107800,44400,41800,31300,1371200,100
10181,5,1628100,74400,116000,49500,42300,42000,1369000,100
10182,5,1481400,83200,115000,55000,43200,36100,1209000,100
10183,5,1316500,94000,105600,54600,42600,32800,1047600,200
10184,5,1265900,91600,126200,59600,43000,34300,972400,200
10185,5,1214700,128600,103500,57600,41700,35100,907000,100
10186,5,1504500,72800,107000,52900,40400,36500,1232300,100
10187,5,1435000,86100,102400,53700,42700,35800,1180700,100
10188,5,1285000,82600,99000,79400,42400,37000,1010400,200
10189,5,1633400,74900,107900,54100,44000,42500,1377800,200
10190,5,1563500,122300,106200,55200,43300,35900,1259100,100
10191,5,1978000,113500,102300,60800,53500,45100,1675800,200
10192,5,1329800,93800,121000,45200,41900,35100,1049700,200
10193,5,1892600,114300,92800,55900,42900,36200,1604800,100
10194,5,1718800,96100,120300,54500,43300,35900,1424500,200
10195,5,1423100,93800,116900,51900,40400,29500,1142400,200
10196,5,1146300,78000,101700,54700,43400,35200,886700,200
10197,5,1680800,78700,100900,50900,40600,34400,1423400,100
10198,5,1834200,110800,118500,52100,41400,32800,1478100,200
10199,5,1357900,165100,102400,58600,43600,41700,1003200,200
10200,5,2072600,87100,114900,58900,41800,35600,1798900,200
10201,5,1692000,88200,124200,51000,40900,31700,1415100,200
10202,5,1836200,113600,108100,64900,53000,35900,1535600,200
10203,5,1399500,95400,107900,49400,43200,35300,1132800,200
10204,5,1492300,87700,104400,49900,42900,33900,1235200,100
10205,5,1008300,88000,94400,56000,43200,36000,751200,200
10206,5,1240600,99500,91300,45800,42500,35600,984700,200
10207,5,949000,116900,96400,49700,43300,35400,671600,100
10208,5,1462100,93300,99600,59000,43800,41700,1192800,200
10209,5,960600,85700,86500,53400,43300,34600,711800,200
10210,5,1124000,83800,96500,45000,42900,35200,853900,200
10211,5,939600,73000,101200,42300,39900,31500,704700,100
10212,5,851600,84900,93300,48500,42500,35300,606700,200
10213,5,1512900,123500,95200,51000,43000,35800,1225900,100
10214,5,1024600,79300,116300,135200,42500,35000,675800,100
10215,5,878600,77700,103900,47700,42800,40700,635000,100
10216,5,1051200,96900,95800,51600,42900,36900,783000,200
10217,5,1092400,83300,94200,51500,40800,28000,834100,100
10218,5,912500,73200,99700,47300,43300,41100,638200,200
10219,5,917600,74800,94900,50100,42700,34400,667900,100
10220,5,950300,80500,94700,51400,41300,34000,705300,200
10221,5,1098400,112200,99800,53500,43100,34800,814800,100
10222,5,981200,95400,93700,50900,41100,34300,702400,100
10223,5,922200,134800,105000,53500,42900,33600,611600,200
10224,5,1420100,206800,104800,54800,43300,35100,1035000,100
10225,5,2146700,164200,104600,51000,43600,36500,1813600,200
10226,5,2052800,78400,112400,48800,42500,35600,1799900,200
10227,5,1605600,100000,88600,51300,42800,36600,1355100,200
10228,5,1858800,133200,98600,53900,43600,34800,1557000,200
10229,5,1930800,93400,104300,65100,52400,36200,1638000,200
10230,5,3410000,85700,109300,57400,52900,33600,3126500,200
10231,5,1383400,87500,103600,63300,42500,35100,1106500,100
10232,5,1484900,118100,112200,43700,40000,34600,1188400,100
10233,5,1955200,86900,107300,56900,51700,34000,1681400,100
10234,5,2149300,90100,120000,45200,42000,35400,1848100,100
10235,5,2397400,132400,116700,57800,43000,38100,2072500,100
10236,5,1605300,142100,125100,51100,42800,35100,1263700,200
10237,5,2103400,83800,102800,49200,43100,35700,1844500,200
10238,5,2197200,106800,120400,61500,43300,36900,1856400,200
10239,5,1569500,71200,121900,50900,43400,41800,1295000,200
10240,5,1981500,85600,119300,60800,41800,34400,1699100,300
