tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains
6002,2,1399400,112700,77500,83300,50700,73400,1112200,100
6003,2,1575600,131900,55500,79600,47700,66800,1296000,200
6004,2,1244800,131900,69700,83500,50100,72000,943500,100
6005,2,1865700,135200,55100,82600,47700,70600,1573600,200
6006,2,1380500,123300,66100,85700,59900,73900,1082500,200
6007,2,1020700,125800,70800,80100,50600,67800,731300,100
6008,2,980100,129100,79600,75600,51300,62800,676700,200
6009,2,1006800,113600,63500,88600,50900,76100,720000,200
6010,2,1217700,128100,55600,84400,50900,72300,902800,200
6011,2,987600,121700,64000,73200,47900,61400,706800,100
6012,2,961100,133500,67600,77500,49400,65200,662500,100
6013,2,1005300,119700,77500,87500,51400,73900,703100,200
6014,2,873400,109600,74500,80300,50600,67300,591100,100
6015,2,844200,110900,60200,82500,51100,70600,574300,100
6016,2,1127000,102100,49800,81100,48000,71100,869300,200
6017,2,1046200,111100,67700,102300,55900,90200,741100,100
6018,2,946900,135500,77000,72600,47600,60000,610600,200
6019,2,1027600,151400,162800,83100,49700,71600,601600,200
6020,2,640900,112400,66200,79600,49700,68100,365900,200
6021,2,803000,114700,52000,72500,47500,62800,550100,100
6022,2,723500,143100,53700,82600,51100,70500,399600,200
6023,2,983400,121800,47700,84500,51000,71900,716000,200
6024,2,891800,124700,51300,79200,50600,66700,623500,200
6025,2,1924300,121200,74000,70200,52300,58600,1643200,100
6026,2,1016100,110100,69200,79000,46700,69400,741100,200
6027,2,767200,119200,70600,81600,49200,69100,482400,100
6028,2,822200,134400,54600,83800,46100,69500,535000,200
6029,2,1232200,108800,56300,81000,50300,68900,965900,100
6030,2,641600,106800,57200,87300,50900,75700,367600,200
6031,2,781400,169200,52600,87400,50800,74500,452000,100
6032,2,2107100,146800,51600,87500,52100,74400,1799800,200
6033,2,2291000,143500,74200,99000,49600,84900,1954900,100
6034,2,1042100,171600,167500,83500,50500,71000,577100,100
6035,2,1695700,130300,60700,84300,50800,72300,1401600,100
6036,2,888700,113100,45600,83700,50700,71500,626500,200
6037,2,897800,138400,65200,79700,49600,67900,598100,0
6038,2,1017100,122900,48500,75500,49300,63100,724100,200
6039,2,906300,107100,53100,86600,50500,74200,614100,100
6040,2,940300,132200,72800,80800,49600,69700,639400,200
6041,2,1138700,121200,53900,92000,50800,79800,854700,100
6042,2,1508900,112900,65900,86800,52000,75500,1224700,200
6043,2,907300,124200,70300,83600,50700,72200,615300,100
