tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains
10217,4,799700,106100,96200,62000,50500,51100,499000,11000
10218,4,1233700,89800,101200,73500,53100,66800,933300,10700
10219,4,1800600,89300,104200,75800,62200,50800,1469000,10800
10220,4,1749600,112700,113100,70900,52300,56700,1403700,10500
10221,4,1314400,79400,101800,54600,50000,46100,1050800,10600
10222,4,1704300,76300,97200,64400,49900,54400,1411100,15700
10223,4,936600,84300,103700,69000,50700,59500,655200,10700
10224,4,865500,103600,188800,60400,49500,51500,481300,17800
10225,4,523100,83900,93800,54600,48200,51700,267200,10800
10226,4,889000,74600,76700,56700,49300,49300,658100,10900
10227,4,1543400,93900,91800,64200,49100,48500,1269400,10700
10228,4,1049200,74400,87800,54500,51700,48700,807200,10900
10229,4,1565000,72100,89800,70900,52600,57900,1302600,10600
10230,4,1107600,119200,92500,63400,50700,54600,800200,10700
10231,4,811700,85800,93900,66400,50900,56200,532000,10800
10232,4,977400,90400,151400,53300,46300,48100,646900,10800
10233,4,1007300,71400,92700,59400,52700,49900,741600,10900
10234,4,605600,86800,97400,60800,52400,53700,308600,11100
10235,4,1488100,78400,85200,54700,46500,47500,1240200,10800
10236,4,999700,71500,80900,65500,50800,56000,749500,11000
10237,4,1665400,83400,78700,71200,52500,63600,1405900,10900
10238,4,1175800,84800,90300,68500,50500,58500,892900,15500
10239,4,1015500,113200,88000,79000,53400,65300,679000,10800
10240,4,949200,80900,81200,74700,53400,63200,667000,10500
10241,4,854300,80500,78600,75200,53000,63900,592000,10900
10242,4,645900,91900,75500,59500,50300,47500,391800,10700
10243,4,1446600,89200,75800,68900,51500,56100,1176700,10700
10244,4,1371100,176400,74500,59200,48000,44800,1033600,10800
10245,4,2033700,181100,81800,83100,51000,62300,1659600,10900
10246,4,2135000,95900,75000,71500,51700,60000,1847100,10600
10247,4,1516700,106300,80000,81000,48300,68000,1227900,10700
10248,4,1085300,83600,82100,54800,47400,48200,835600,11000
10249,4,1194500,93900,89200,65100,52200,56300,922200,10500
10250,4,1239700,69800,80400,52800,47200,45100,1007100,11000
10251,4,2065000,92500,93800,75700,53400,68100,1772900,10700
10252,4,1752200,215600,84400,70700,53200,57700,1343300,10900
10253,4,2720200,125400,97400,71000,59100,49100,2387900,10900
10254,4,2429400,115800,99200,72700,52000,63700,2105200,10800
10255,4,2417100,113600,117400,63600,57200,49500,2091300,10600
10256,4,1512400,79000,91800,70300,52300,60600,1227800,11000
10257,4,1841200,88500,99700,70000,51500,58800,1553100,10700
10258,4,1481600,91800,107500,72100,52900,59500,1154700,10500
10259,4,3108800,88000,112400,75000,53000,63100,2768800,15300
10260,4,1670800,82900,106200,56000,48700,49600,1383300,10800
10261,4,2930300,126900,105800,80500,53500,67300,2595400,10500
10262,4,2415100,96600,115100,87800,51800,73900,2090800,10800
10263,4,2200600,92100,107700,81400,53100,70200,1894700,10900
10264,4,1837800,121500,114300,68800,61700,52800,1505900,10900
10265,4,1941400,100300,131800,66200,58800,52800,1595000,10800
10266,4,1647400,114800,97200,66200,49100,53800,1345000,10500
10267,4,2516400,98300,98900,80200,53000,69500,2212000,10800
10268,4,1744800,89100,109700,60300,57400,47600,1456100,10500
10269,4,2108500,87200,125800,76200,53400,64900,1792300,10900
10270,4,1782500,109100,123600,80400,53300,68900,1416000,10800
10271,4,2028700,99300,108800,68400,61800,54800,1720800,10500
10272,4,1276700,101300,102200,73300,52000,61600,967300,11000
