fileName,run,wholeUpdate_average,controlBehaviorUpdate_average,transportLinesUpdate_average,electricHeatFluidCircuitUpdate_average,electricNetworkUpdate_average,fluidFlowUpdate_average,entityUpdate_average,trains_average,spacePlatforms_average
29_geist,6,1405978.078246036,191611.8963058251,125597.00215330406,150215.74428815124,101830.63844067228,137204.10805671298,877623.3787298303,159.1878967532649,128.49072960653262
29_geist,7,1400656.5256299113,191604.38211359378,126442.5151710059,149970.5025308314,101336.86903996197,136933.71738583295,872032.6127688135,159.9038004418468,124.9783271344277
29_geist,8,1447789.7088844767,195898.13473531138,130753.46066724461,153281.18235968568,103359.23823373136,139930.96003803238,904888.1987751336,168.122710366621,131.5864537598926
29_geist,9,1402740.431779412,192315.24651136776,126533.75653681591,149933.32867250202,101565.51637350037,136989.11043373696,873158.6537654856,157.7868508627199,127.40848457730921
28_geist,0,1210685.1981319387,157809.0466735647,116816.79017869628,90748.83246175788,81682.04088481222,42609.31513744791,789753.9724265219,158.2175116753824,123.14662043122011
28_geist,1,1249270.4466008558,166240.79252775526,124341.29030453872,96143.07726726138,85631.04672949467,45649.145669621634,809911.446069521,160.1442993372298,125.6103358595039
28_geist,2,1243522.0364104141,164739.84171816884,122216.871277161,95657.64143292597,85029.75474705668,47214.32087027042,804715.8561481026,159.48432562431836,121.09958332168125
28_geist,3,1241291.4063592383,164374.68609301155,123229.4639111832,95660.04362538102,85133.79009480131,45798.87021449146,806603.023015185,158.4468245756313,119.90547834111692
28_geist,4,1259967.8374674907,166832.21007298862,123737.24377079896,96443.63377051931,85784.56891971252,47217.173299029615,820768.7239576051,159.24662322771889,125.71660281327777
28_geist,5,1219560.7203780867,165161.50899074358,122513.62454207332,95494.09659106798,84816.60001677899,47141.30149053385,787877.0575239799,157.89311781649374,124.37987639475377
28_geist,6,1253932.760983249,164288.26589110433,122380.21756760536,96597.3684946447,85952.4595206801,47421.15551329735,817838.1050924243,154.221314913728,128.2558237087167
28_geist,7,1243570.8716686708,165234.7073464023,123302.96428871053,95719.09449369389,85256.53681590648,45411.708940406614,807167.8011130065,161.1314634078134,124.40224838502195
28_geist,8,1233308.4705948152,164553.1726278699,121704.0381442434,96297.09443776392,85697.60340054252,47229.78271204452,799075.7040185687,161.2125618725356,122.64604714896949
28_geist,9,1246591.2106043233,166431.25087390587,124259.53466260243,95481.64657848373,84947.15176598898,45797.8103414525,808029.4471321905,158.5195335440029,126.74291786683072
27_geist,0,1233477.0379484885,137803.60748343074,137578.41382589,92624.04988953829,81862.19692944434,43826.93587628289,816529.3660337258,154.30800637601723,121.88819597863476
27_geist,1,1263165.0241897146,141013.59098408793,139834.85276433904,92583.94809698258,81949.08694314718,44329.505858664954,837581.190749182,159.0508683128723,125.48449341424536
27_geist,2,1255859.568220588,138507.46944825078,139948.28994099388,92933.82365278671,82246.7071226824,44087.67023686345,830683.114740345,157.09331916440615,122.83620906624905
27_geist,3,1255093.5876282894,138502.01068262535,140093.7554182164,92261.82219860735,81580.06935316983,44812.22349618278,833845.691993624,156.87239576050786,125.4033949495232
27_geist,4,1253838.7790486312,138094.62792583686,140347.06787102547,92775.85782600184,82099.06317290752,43978.23764646662,832288.4868145082,157.63863642719315,127.05332923180178
27_geist,5,1248554.4282558237,138650.54671551217,138618.70578036297,92157.55474146368,81424.93358315389,44779.8875807489,829233.9998322101,167.21944125954306,137.30529377219722
27_geist,6,1251720.4032551246,139284.1158869096,140322.96764450907,92183.05321737185,81479.52123940826,44885.92801812131,830036.8270924803,156.285131015968,127.78601191308482
27_geist,7,1258627.967784334,138894.94952319696,140776.6268631673,92407.64003467659,81780.67898990464,44896.80360189043,836337.9960289717,140.33669845353617,124.15056349450488
27_geist,8,1250859.1431527727,137809.41301490535,138884.7115411505,92431.68433121732,81789.69490198272,44711.885119829974,831851.8135294612,159.68847003551554,123.25568388377751
27_geist,9,1258628.756396991,139126.42691350429,140153.55015520568,92213.60496658184,81480.96702927935,44805.45037612908,835650.924242848,153.96963002321095,136.9753069157415
26_mrcooki4,0,1326286.7138342794,156544.2294247602,121748.60314885763,98424.49453284488,87291.6999916105,62793.755418216395,899388.2239436225,164.77809782152744,127.4560250566291
26_mrcooki4,1,1326445.7003831204,157433.77890880618,122006.94650297827,98054.23809390643,86998.17947929192,63069.80340613552,897892.055146956,159.48432562431836,123.28085237282922
26_mrcooki4,2,1317481.1068542185,157377.14141894347,121971.30512598227,98107.56452920943,86930.12668139489,62886.884420705275,890082.197488744,159.96532341508433,125.31111048966693
26_mrcooki4,3,1321111.873933835,157394.37903744512,121949.05618166056,98449.1848206046,87303.39215302441,63080.73491988031,892760.5525881596,158.4691965658995,123.60804273050141
26_mrcooki4,4,1323095.3662015158,157164.53200592857,121919.41329455521,98236.08602030258,87131.48857630246,62829.34645823429,893203.2579210828,158.04972174837104,128.67809502502865
26_mrcooki4,5,1320507.0052294526,157734.556335468,122089.0013702844,98429.26535976958,87329.84982801533,63201.5101093431,889936.0636483124,160.1834503201991,139.05590201068262
26_mrcooki4,6,1327072.0126401745,158319.7712463995,122650.66416846108,98603.95704577869,87423.80659414413,62999.69797813138,896984.6388321822,143.4352191056797,127.48399004446433
26_mrcooki4,7,1328278.2348499678,159169.33918733746,123709.17251600996,98693.43941385385,87521.12475181073,63280.119690147934,895411.05735619,159.19069325204845,126.73452837048016
26_mrcooki4,8,1309557.1436561425,157892.40470930396,121795.34662602421,98328.18591123912,87136.4048211639,62961.604071702226,880351.9002209234,160.22260130316843,122.71316311977404
26_mrcooki4,9,1322009.6535138008,157295.27671355463,121216.43502335077,98167.43756816466,87058.23708716687,62505.76638049162,893313.4931066305,166.88945440308734,129.2513772756509
23_mcmayhem57,0,1502543.365306636,146108.69711121675,115482.0940182891,102931.65916272826,89196.53234150843,89889.41804860315,1081204.2730501413,6138.242120864677,126.71215638021198
23_mcmayhem57,1,1502391.3979697418,144691.2245868173,112903.82561033586,102593.70228473951,89456.69062333959,89057.68338040773,1085234.5367599765,6231.510948292737,125.88998573785621
23_mcmayhem57,2,1521012.4695880758,146374.94057440085,115367.61934058559,103446.84694762158,89679.18565955423,90104.27305014123,1097376.4003467658,6324.939176151458,127.55110601526889
23_mcmayhem57,3,1506342.1040856848,145260.09675885792,113276.2409463352,102391.37559775161,89484.13546240107,89201.19130848178,1084421.9385329566,6409.452165888308,130.9404625408988
23_mcmayhem57,4,1502605.592997567,145762.63597975334,115402.59235437233,102518.01224866467,89479.47090243016,89356.59833887972,1081979.3031125031,6238.826589110434,132.41701389859895
23_mcmayhem57,5,1500024.9335831539,145701.96034564724,113417.19007802232,102265.9889817948,89231.28722839005,89126.45487849212,1081951.4052406386,6210.053413126765,127.40009508095864
23_mcmayhem57,6,1513373.6150339774,146401.13258200733,113216.59442378143,103211.2503146061,89807.92807405129,89724.44419586677,1091993.386280377,6467.02648284348,128.21667272574737
23_mcmayhem57,7,1501463.2428199893,145017.35227495176,114085.86090215051,102540.99107916887,89358.82155541262,89456.9087502447,1077462.4122598507,6110.296708520932,132.04507956039038
