tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate
543,0,7588200,73400,116000,237000,219400,227800,7113200
544,0,10064400,45800,118500,245200,207900,234400,9598800
545,0,7715900,54100,124600,228400,164900,221400,7148700
546,0,8283600,46900,122400,226900,204500,219900,7701800
547,0,6012000,21600,119200,212200,207500,205500,5592400
548,0,7006900,32200,117200,208200,201800,158000,6599000
549,0,5338900,32000,131500,223300,206500,217700,4911200
550,0,7096700,39100,109600,210100,200000,206400,6655100
551,0,9461200,69500,118300,206500,203100,195900,8999000
552,0,9366000,52600,107100,204300,166300,193700,8960500
553,0,7841500,30300,115800,201500,183500,194900,7446200
554,0,7109500,36600,121700,239500,206700,227600,6653500
555,0,7043700,18700,114300,189400,181300,183200,6664200
556,0,8577400,23800,121300,225000,218300,197900,8127700
557,0,7572500,59500,106700,227800,204800,219200,7117600
558,0,8037400,32400,122300,215400,169100,204700,7573400
559,0,11088000,72400,118500,199100,163200,189400,10613200
560,0,11398600,78200,119800,229300,209300,221000,10907900
561,0,9873600,50400,118900,218800,209600,164400,9385700
562,0,7465400,21800,108000,220500,202500,212400,6988200
563,0,8150400,27300,105800,224800,207200,216700,7734500
564,0,8795500,27500,126000,221200,215400,194300,8360400
565,0,7310600,28100,123900,201800,186100,194600,6906400
566,0,7957200,46800,109300,221700,215200,155600,7513600
567,0,6830800,25500,125200,220200,214300,187700,6409500
568,0,9645100,64200,125800,235700,216200,229200,9180000
569,0,7342300,29100,123000,215400,208600,208600,6893200
570,0,7846400,64300,117600,213300,206300,191800,7295000
571,0,6207800,42800,125800,243300,220500,231900,5630400
572,0,7404100,50000,122600,235500,205800,225200,6936100
573,0,5784200,42000,109100,216500,208700,155500,5348300
574,0,6917400,66700,108000,241000,204600,232400,6414800
575,0,9114300,52700,118800,225700,212100,217100,8668900
576,0,10015500,58300,112500,219000,209300,152000,9464900
577,0,6887300,29900,127700,219500,209100,154600,6392400
578,0,7383900,40000,124100,210500,204300,155100,6913400
579,0,7469100,47200,124400,341300,267300,334100,6899200
580,0,8555300,38900,124100,228400,205900,217500,8104100
581,0,7628600,70300,111500,230900,163600,219600,7171200
582,0,8456800,57800,113500,224200,185600,213400,8023000
583,0,11146800,31000,118100,239700,178100,232900,10713500
584,0,12900900,33600,131300,237200,210800,229300,12440100
585,0,8838500,72800,112500,195800,189400,168400,8408700
586,0,7662900,23500,105600,230400,208500,219900,7221500
587,0,7990200,24100,137200,226800,210700,219000,7563100
588,0,8504800,37700,121200,218400,209000,214900,8083800
589,0,7538000,20400,116300,219400,200500,212000,7127400
590,0,7945900,42700,123400,229300,212000,220100,7502200
591,0,10919700,39400,125200,245800,211300,235100,10415200
592,0,11432700,66000,133800,232600,226900,167000,10929000
593,0,8886300,87800,105900,236000,206600,227300,8396300
594,0,7156800,68300,124800,217900,210000,182000,6687400
595,0,7846600,67100,126300,225100,192800,213300,7356400
596,0,8833000,37800,111600,219300,212200,174200,8380000
597,0,7851000,86000,143900,214000,209900,204100,7346700
598,0,8740700,70900,109100,211900,183800,200600,8193200
599,0,7709000,31800,112500,215400,209300,212500,7272000
600,0,9626500,40200,116200,193400,186500,186000,9213000
601,0,8021600,69700,120800,253400,170700,243200,7509300
602,0,7777000,25500,181100,216300,209700,160900,7301100
603,0,5976800,19500,156400,204100,200800,191700,5537900
604,0,7627800,159300,126200,215100,174000,203900,7063700
