fileName,run,wholeUpdate_average,controlBehaviorUpdate_average,transportLinesUpdate_average,electricHeatFluidCircuitUpdate_average,electricNetworkUpdate_average,fluidFlowUpdate_average,entityUpdate_average,trains_average
design_18_lady_meyneth,0,1180742.5479730766,123910.78889059211,87711.65707437394,133837.9046530749,98248.871918505,122456.76361153305,777448.640588637,11426.41201800471
design_18_lady_meyneth,1,1199679.0228403406,123258.93616131775,86959.30684652796,133523.25004529048,98228.59432266335,122202.70628074527,797176.6928190192,11773.335748825932
design_18_lady_meyneth,2,1180759.1368330105,123815.99102551596,88502.27009852423,133115.73879234662,99368.40117615908,121784.06332306749,778010.6843740855,11818.620660823033
design_18_lady_meyneth,3,1186928.6403099264,125529.60882955448,88331.67686283254,133754.6509845455,98174.73627001491,122443.13047840689,780556.7984503686,11684.796332167394
design_18_lady_meyneth,4,1170640.1524547443,124087.21414735435,87217.4208113268,133144.29409551414,98260.98050418762,121845.43402221325,769278.4612383116,11338.545687648935
design_18_lady_meyneth,5,1190335.5746317536,123752.52024136345,87586.04077537313,133346.40950960855,98064.49643947101,122118.83248094315,785086.9033849413,11706.2445128834
design_14_abucnasty,0,1180431.8329408157,139904.4983904458,102372.17631237893,102149.97143215485,91159.1619169721,56299.44397218467,788176.2566367981,153.2448891428253
design_14_abucnasty,1,1173586.0282333924,138906.03826697698,100454.63565545785,101934.53922156106,90973.7287308909,56223.516213994066,785843.7074095235,159.30545297453978
design_14_abucnasty,2,1202261.9838626513,141780.67559469893,103257.61089201354,102517.77059323569,91472.460597277,56502.781532630055,807591.2652071518,162.31692191920177
design_14_abucnasty,3,1186587.5304839811,139300.62709903985,101568.41371813988,100963.97385693781,89980.78986607952,52284.98028121908,797451.7300965732,154.0642985548851
design_14_abucnasty,4,1178932.2830585712,140329.1963377416,103324.46522387436,101963.98500536518,90943.70322886328,56632.19805181232,787153.2908764058,151.0068423473014
design_14_abucnasty,5,1187516.6947699941,141547.37942279017,103954.41408046377,100692.93886481138,89841.27844590922,52514.984879945376,793789.1344639696,150.1581683133823
design_12_phlap,0,1169709.4650148414,136310.15343023176,104758.91665156983,99255.40629050015,88541.82750595744,75798.49217519753,785213.3042545186,153.61418079962095
design_12_phlap,1,1181857.024206023,135381.34589389485,104270.55142908903,98573.44165888599,87761.69539709305,76062.47996766955,798348.7576471244,157.3154586881088
design_12_phlap,2,1165347.4156551792,135243.30885324487,103992.72007692415,98406.13302860965,87537.39043186221,75138.25722209061,783656.6367981717,157.13569029668753
design_12_phlap,3,1170888.3275965385,137308.62609568136,105474.05760949846,98739.2508256804,88170.65455204225,76459.26364637188,785001.6652963391,151.21030114689447
design_12_phlap,4,1174241.6073245169,134496.86032414052,102340.54683036274,99397.13624771805,88651.16292033055,75637.66774899316,792451.3412951685,153.7758329965579
design_12_phlap,5,1189016.4759821068,136692.8371354116,105386.38358951491,98673.18942571663,87794.64736130659,75713.76552070124,801932.6621051017,159.733273875054
design_08_lady_meyneth,0,1178525.6525313898,121360.72966457169,86034.0263939018,131292.90960018954,108324.20602293788,120173.92382836997,782828.2250310066,11668.02352318176
design_08_lady_meyneth,1,1186287.2503797433,123623.06748979221,86258.3912819298,132843.8258615644,108223.50088490642,121689.65147228919,786158.1808553631,11324.07224180939
design_08_lady_meyneth,2,1180303.8406332307,124280.65051073732,87732.70251815104,133760.73105812512,108650.18743293524,122545.56780334174,778761.5727643919,11514.70059504731
design_08_lady_meyneth,3,1174721.0886439332,124173.56429158711,87136.20033723993,133030.2596190025,108157.65827282988,121851.01659722126,774241.3132847447,11793.510221714349
design_08_lady_meyneth,4,1181314.035870065,121941.97522262015,86236.80235231818,133543.90390055603,108388.9951086275,122408.24286849036,781245.7782299084,11732.324865173707
design_08_lady_meyneth,5,1183684.1762008946,122987.92346604606,86680.27425131343,132854.42383533771,108553.62393567358,121707.40534288382,783762.6207165652,11812.638135982943
design_01_undertow,0,1260835.0520492203,74039.1811480093,106343.45517635418,86812.90430468653,76306.53297844173,59905.03212140637,950349.9017544838,158.4372691927145
design_01_undertow,1,1264432.0573029167,73193.4502989172,105855.94002146072,86837.40994161011,76256.54761075266,59314.612801181735,954762.1232179935,126.209952758539
design_01_undertow,2,1260905.2021349238,72292.88312267451,103724.38579132932,86788.8181273429,76215.35835226244,59882.24473585195,954428.3044635516,152.11750442453211
design_01_undertow,3,1264502.4275700608,73640.30992628103,105377.09137529787,86883.47942418372,76329.27158962638,59830.828188798616,955153.2072632004,147.62886885268748
design_01_undertow,4,1258265.3102746694,73172.1804930392,104462.0298499143,86905.17983806909,76366.68013768308,59285.161443163925,950962.4479159409,148.10964478323277
design_01_undertow,5,1279842.4950180466,71762.9217241043,103628.59153555651,86885.80526484482,76346.72863334217,59656.93223149709,973609.5876475425,144.6926517928065
design_00_baseline,0,1627425.2191362756,43594.85221365961,137174.0729385861,77325.91033877284,70637.27337337477,53986.992572360265,1320760.885742555,145.5552613609443
design_00_baseline,1,1688458.8845998412,55822.76508869968,142845.42287378586,86587.96805975557,77130.21223818616,68424.50424337017,1350460.1415850276,154.14512465335358
design_00_baseline,2,1669380.8400340027,54347.06029905657,143795.10723393582,86016.03979988572,76639.9963767611,67708.73339929486,1334266.7874412965,154.52835184436796
design_00_baseline,3,1675575.3550077341,55098.21903872685,142422.6271269109,86209.68937694226,76781.33892612773,68031.79810198024,1340386.6901712676,148.22252261040427
design_00_baseline,4,1670390.0514221212,55507.430426845414,142622.6327011246,86298.80293761061,76832.78473780293,68277.67666773505,1334445.003414206,149.36662996975988
design_00_baseline,5,1686876.6328962222,55043.15277526164,146167.4647082596,86652.44220237182,77154.61753926337,68513.69863013699,1346951.3900695383,151.38031466436266
