tick,run,wholeUpdate,transportLinesUpdate,entityUpdate
26897,1,2430600,161800,2079600
26898,1,2145900,203300,1671200
26899,1,2268700,153400,1835300
26900,1,2010800,176100,1635100
26901,1,2517100,167300,2027100
26902,1,2110700,180500,1705800
26903,1,2086500,152700,1743300
26904,1,2007100,148100,1649100
26905,1,2265500,159100,1883900
26906,1,2286600,160000,1896200
26907,1,2303300,164400,1922600
26908,1,1706300,175700,1364700
26909,1,1950200,145600,1577400
26910,1,2253400,155100,1838100
26911,1,2266700,216400,1828400
26912,1,2109200,189400,1696900
26913,1,2095000,149800,1713200
26914,1,2261800,163800,1833700
26915,1,2127700,161800,1753900
26916,1,2026300,165700,1599700
26917,1,1716200,163000,1332000
26918,1,2310500,185200,1880500
26919,1,2382200,152500,1972800
26920,1,2147500,150400,1710500
26921,1,2167500,168400,1761900
26922,1,1997700,181200,1649200
26923,1,2484300,157600,2135400
26924,1,2146300,156200,1841100
26925,1,2169600,158000,1787500
26926,1,2035300,161500,1627100
26927,1,2431500,168400,2073000
26928,1,2194100,148100,1809000
26929,1,2487700,167900,2146200
26930,1,2087100,155900,1735000
26931,1,2102700,146100,1744300
26932,1,2558300,147700,2198300
26933,1,2369300,157400,1984300
26934,1,2016800,123100,1693200
26935,1,1998500,138500,1637800
26936,1,1984900,123400,1657000
26937,1,1684900,114600,1395300
26938,1,1686900,124700,1349800
26939,1,1697100,135000,1378600
26940,1,1645900,132600,1318900
26941,1,2083100,147600,1768000
26942,1,1933900,146900,1597900
26943,1,1869400,149400,1499900
26944,1,1857100,154300,1518500
26945,1,2156600,139200,1772100
26946,1,1884300,156600,1449000
26947,1,1647500,140300,1294300
26948,1,2491100,164200,2145400
26949,1,2294400,147700,1943400
26950,1,2271300,164400,1846000
