fileName,run,wholeUpdate_average,controlBehaviorUpdate_average,transportLinesUpdate_average,electricHeatFluidCircuitUpdate_average,electricNetworkUpdate_average,fluidFlowUpdate_average,entityUpdate_average,trains_average
21_em,0,1495092.5135180333,94088.58910753108,106249.21121578684,54171.207982607724,43102.35241652266,35320.16834829143,1217411.4443391494,161.01789397402308
21_em,1,1486600.6410613747,93788.26021517365,106293.26606834272,54050.39857294164,43121.85183120575,35302.17960867384,1209285.361502871,165.93455599531745
21_em,2,1489676.1580913095,95318.58520541836,107282.04470706283,54388.71731980601,43310.94263894309,35277.31757623056,1209859.4849211215,154.05541000055746
21_em,3,1493681.4147945817,95992.85355928424,108054.91387479793,54058.69892413178,43190.41752606054,34923.51301633313,1212362.8518869502,155.97859412453315
21_em,4,1501955.460170578,95169.5077763532,107783.07597970901,54668.74965159708,43472.45108422989,35327.93912704164,1220467.3002954456,163.2420982217515
21_em,5,1494860.1538547298,95822.28663805117,107357.84603378114,54400.42365795195,43228.61920954345,35341.28435252801,1213235.8659903004,159.668877863872
20_groot_opperhoofd,0,1708048.5144099449,99257.25514242711,143755.88382853003,58619.3154579408,47773.68303695858,44276.77128045041,1380540.6711633871,160.76146942415966
20_groot_opperhoofd,1,1708686.537711132,99497.36886114054,143933.89263615586,58641.362394782314,47985.76843748258,44248.73738781426,1380736.8638162662,154.90830035119015
20_groot_opperhoofd,2,1707685.9356708846,100579.6365460728,144122.99459278668,58713.21701321144,47945.431740899716,44322.2754891577,1378854.300685657,157.4725458498244
20_groot_opperhoofd,3,1704825.8542839624,99250.27593511344,143730.1521823959,58736.91398628686,47915.62517420146,44416.851552483415,1377505.7361056914,159.2229221249791
20_groot_opperhoofd,4,1714950.1309994983,101071.12436590668,144127.41512904843,59113.52360778193,48495.61848486538,44368.85556608507,1385419.9788171025,158.50381849601428
20_groot_opperhoofd,5,1724319.8896259547,100410.5134065444,145273.92831261497,59152.7677128045,48732.292769942585,44401.65561068064,1393858.420201795,161.94325213222587
19_akaravortex,0,1220354.9919170523,78410.42978984336,58791.43207536652,57929.176654217066,50155.543787279115,38814.10892468922,1003164.4294553766,164.01694631807794
19_akaravortex,1,1226213.9138190534,82542.6389430849,63046.52433246,61064.278945314676,52577.6018730141,44151.83678019956,996802.5530966051,159.51836780199565
19_akaravortex,2,1230593.9517252913,81852.8457550588,62421.88527788617,61213.423267740676,52931.791069736326,44437.20385751714,1002582.462790568,163.57656502592118
19_akaravortex,3,1231453.877027705,84367.58459222922,64316.388873404314,61049.322704721555,52795.35091142204,44643.75940687887,999202.703606667,171.15223814036457
19_akaravortex,4,1223866.6146384971,82594.92167902336,62261.35793522493,60973.917163721504,52542.66681531858,44290.4732705279,995523.3625062712,167.90233569318247
19_akaravortex,5,1240402.218629801,84190.81331177881,63578.05897764647,61082.273259379006,52796.76124644629,44723.73041975584,1008467.1999554044,162.98567367188807
18_akaravortex,0,1859768.5545459613,123437.0756452422,119979.30765371537,110507.6146942416,100274.65299069068,75287.66374937288,1479643.3078766933,159.1337309772005
