tick,run,wholeUpdate,entityUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate
37497,0,1305500,974900,100700,106300,94900
37498,0,1813400,1408100,124200,106500,99900
37499,0,1503900,1160900,79900,118100,81200
37500,0,1423300,1094100,101500,110500,94100
37501,0,1852700,1361100,263300,108900,95500
37502,0,1734000,1432000,98700,97100,79000
37503,0,1594600,1094800,82100,98000,271800
37504,0,1375400,923900,127500,149200,131700
37505,0,939700,622700,89000,107700,79000
37506,0,2210300,1616200,328200,111400,85600
37507,0,2048500,1715500,92400,93200,111000
37508,0,2109500,1725900,159900,92300,101500
37509,0,1648500,1281100,87000,139500,97700
37510,0,1376200,1025500,93300,103000,96500
37511,0,2239900,1925100,87600,91400,82900
37512,0,1385400,986000,135600,121800,101200
37513,0,1859800,1477100,143900,89600,109200
37514,0,1375900,1009800,100300,102800,129800
37515,0,1233100,918600,99700,94600,81500
37516,0,1531600,1159800,112100,101600,128500
37517,0,1969200,1497600,242000,94500,92100
37518,0,1632400,1183000,80800,99300,181500
37519,0,1439700,985500,96700,166600,89300
37520,0,1108600,734900,124200,111300,87400
37521,0,1230800,891600,77700,104800,84300
37522,0,1952000,1633000,71200,104700,84100
37523,0,1068300,764200,96500,91400,94500
37524,0,1728600,1161100,236800,105500,197600
37525,0,948200,615800,74800,126800,91900
37526,0,1025500,731400,82300,93400,78500
37527,0,1814800,1478000,78000,100900,114200
37528,0,842000,520100,99100,106900,88500
37529,0,960600,650400,83300,99000,85100
37530,0,947100,632000,83100,100800,91100
37531,0,782200,444300,73300,103500,128600
37532,0,1390700,1061400,97200,97300,81900
37533,0,1276600,959600,89800,94200,79800
37534,0,917900,534300,122800,84500,84100
37535,0,1205200,819800,165400,97000,73600
37536,0,1028200,636900,143300,84600,97500
37537,0,1028700,676700,112300,105600,89800
37538,0,1626800,1292100,112700,88100,75000
37539,0,902600,469700,125400,102700,120100
37540,0,1398400,1065000,89900,135200,82400
37541,0,1220200,918900,79900,102600,88600
37542,0,1170700,853900,93800,98300,87700
37543,0,1748300,1317500,120200,100800,78500
37544,0,955900,537200,132500,109000,83900
37545,0,1219700,918100,85100,101600,87000
37546,0,1067700,671500,110700,89900,97000
37547,0,746800,461500,94300,85100,86200
37548,0,1495100,1200200,81300,110100,84700
37549,0,1048300,733200,102400,97600,89500
37550,0,965500,665500,82900,102000,81500
37551,0,1229900,913400,87800,88200,79500
37552,0,830900,528900,88300,94200,89700
37553,0,829000,560300,82000,86200,78300
37554,0,1579600,1202600,184500,83100,85800
37555,0,928900,653700,85500,79700,80800
37556,0,1032000,764400,73100,97700,75400
37557,0,794400,497400,107600,70400,95700
37558,0,761700,449700,73300,93500,78600
37559,0,1648100,1211300,229000,86300,76400
37560,0,1132800,822600,80100,99700,86800
37561,0,1172600,877100,91800,90800,82700
37562,0,986500,627500,118500,122800,86500
37563,0,757800,470700,87000,95400,88900
37564,0,1876600,1557900,122900,90800,80100
37565,0,1041300,741400,89700,100800,81900
37566,0,1262000,841400,184500,99500,80300
37567,0,2705500,2315200,157100,98400,93300
37568,0,1405200,980300,166300,126500,92800
37569,0,1658700,1350100,86400,102800,75000
37570,0,1835400,1500800,88300,106100,85500
37571,0,1374200,1076600,83700,96800,93400
37572,0,1406600,1078800,94400,116700,95700
37573,0,1446400,1043300,136400,155300,85300
37574,0,1136400,797100,111900,99400,86400
37575,0,1871100,1501100,148600,94700,81200
37576,0,1337700,934200,166000,100200,97500
37577,0,1863800,1424100,183400,118100,106000
37578,0,2009500,1565400,187300,97500,97600
37579,0,1237300,908400,83400,100900,77400
37580,0,1785500,1455200,125500,97500,80300
37581,0,1238200,861400,119000,93200,81100
37582,0,1370700,1014600,105400,89300,93700
37583,0,1905700,1525700,137600,111300,98800
37584,0,1254500,926400,94100,116100,100600
37585,0,1318900,1025000,85600,111300,81100
37586,0,1785900,1311400,247000,108200,99100
37587,0,1605200,1305300,84700,111300,77900
37588,0,1316300,999100,90800,84200,86600
37589,0,1397400,1031600,136700,88800,97800
37590,0,992000,638500,103200,107500,92900
37591,0,2160900,1623600,278200,104400,109700
37592,0,1950400,1653700,85600,92900,80100
37593,0,1749000,1394100,108000,95100,113600
37594,0,1503600,1137100,97600,111100,96400
37595,0,1602100,1172400,85200,208100,97100
37596,0,2395400,2040500,119600,83200,84300
37597,0,1636900,1278300,131300,95600,96000
37598,0,1749400,1345000,161500,90000,99300
37599,0,1646600,1241100,110100,108900,133400
37600,0,1319900,1002600,100000,99900,90000
37601,0,1626000,1322500,115800,81500,77100
37602,0,1757100,1366000,174600,93200,99200
37603,0,1537600,1231400,82000,99500,98900
37604,0,1459100,1151000,98600,91400,90600
37605,0,1221000,865700,109100,125100,85600
37606,0,1151000,840800,69100,97600,88900
37607,0,1824300,1541900,82300,83800,91400
37608,0,1179300,888700,86500,80800,100100
37609,0,1437000,1101200,90000,87900,97100
37610,0,1355700,945100,104700,105800,91900
37611,0,1008300,580200,80800,169100,89700
37612,0,1784300,1449400,81100,124300,92200
37613,0,683100,389800,81700,102400,76400
37614,0,1071700,777700,75900,96800,88800
37615,0,926800,627500,92100,87000,88800
37616,0,783400,478300,81200,95800,83100
37617,0,1236300,934400,78000,95000,75900
37618,0,1184600,666700,101200,98700,213200
37619,0,921800,506700,168300,92200,82200
37620,0,1277300,923700,123800,104900,86800
37621,0,928100,561300,158800,91000,86700
37622,0,968300,655100,98500,100900,84700
37623,0,1609400,1272200,90300,94500,101100
37624,0,896300,565200,101200,95200,87300
37625,0,1286500,945600,90600,108200,94200
37626,0,1251300,853500,84900,161000,85000
37627,0,948000,595400,82000,103500,93600
37628,0,1870500,1430100,121000,97800,87600
37629,0,878700,434200,161800,117300,82400
37630,0,1250500,880700,82600,124300,85800
37631,0,1046800,725800,97700,96600,84900
37632,0,941000,583600,113100,98700,99000
37633,0,1367800,1076600,83600,106900,78500
37634,0,1062600,766700,86200,93100,84900
37635,0,891100,572800,83000,106500,93500
37636,0,1227000,928300,95400,85500,92100
37637,0,832700,502900,71400,113200,91300
37638,0,994200,684800,86500,81400,91000
37639,0,1695500,1146400,266500,91300,135700
37640,0,989500,675200,83200,112600,89800
37641,0,994400,656700,75800,114900,83500
37642,0,855600,518300,116900,87300,90100
37643,0,789000,473200,96700,99200,101500
37644,0,1855900,1400900,244200,98400,95500
37645,0,1190000,846500,89600,105200,129800
37646,0,1190800,924300,83900,84800,81900
37647,0,1142400,778300,149300,103000,94400
37648,0,903400,504600,92500,202500,84300
37649,0,1823000,1519600,88300,102700,79600
37650,0,937700,653600,78800,91600,78200
37651,0,1115600,721000,194800,93100,77900
37652,0,1779600,1423600,137000,87000,98400
37653,0,1444800,1033600,184300,103100,94000
37654,0,1581100,1203900,76700,102200,138100
37655,0,1802600,1492700,86900,87200,101300
37656,0,1271300,926400,89100,94600,100900
37657,0,1351700,1029500,90600,108600,91700
37658,0,1511000,1137500,115200,99900,91900
37659,0,1217300,841600,115300,99300,102000
37660,0,2242000,1787900,225300,106100,94000
37661,0,1476800,1181300,88500,97400,90100
37662,0,1684900,1312300,157600,99400,95800
37663,0,1555100,1193300,165500,85900,92700
37664,0,1413700,1033100,162600,93100,99400
37665,0,2125000,1757600,122700,118800,79500
37666,0,1177700,733600,138200,130400,104300
37667,0,1506500,1148300,120400,102200,93700
37668,0,2167400,1803100,111500,109000,119700
37669,0,2099500,1647200,99400,193100,117200
37670,0,2617800,2168300,109700,174900,121700
37671,0,3006100,2173500,439800,172300,121700
37672,0,2720100,2082100,219200,177900,152000
37673,0,2467400,1973500,101300,193400,91400
37674,0,2092600,1499800,121800,158000,118800
37675,0,1675400,1248200,95600,140800,113300
37676,0,4286600,3032500,465400,146700,590300
37677,0,2961600,2459800,171900,139100,124100
37678,0,3418500,2854100,150300,135800,119100
37679,0,2636300,2100600,91000,154700,140800
37680,0,1967400,1526600,91800,175700,105800
37681,0,3760000,3317100,146500,114700,123600
37682,0,1601200,1162000,193300,108700,102800
37683,0,2105600,1709100,142400,105100,104900
37684,0,1751900,1363600,95200,125700,122200
37685,0,1963300,1504800,132000,117400,155700
37686,0,2852200,2190100,206100,154400,122200
37687,0,4042800,3456900,249500,135000,122900
37688,0,2654300,2192000,95900,160500,169800
37689,0,2474300,2025800,123800,154000,117500
37690,0,1442400,953200,130300,161400,89200
37691,0,1270700,934400,89600,119300,87700
37692,0,2417600,2024000,93600,109000,150600
37693,0,1423600,999700,76000,155100,142900
37694,0,1867100,1468700,95800,112700,144000
37695,0,1769800,1315100,91000,171900,126100
37696,0,1428600,996600,98900,157400,123600
37697,0,3012900,2601500,103000,154200,90600
37698,0,1000900,494500,97300,145800,153200
37699,0,1752400,1258900,84500,153100,119700
37700,0,1587500,1216400,108700,126800,86100
37701,0,883100,461000,102800,131900,86600
37702,0,1727500,1367700,92900,89300,79400
37703,0,1006100,661700,75400,106900,129000
37704,0,1032100,622200,198300,91500,86500
37705,0,1576700,1195500,136400,118700,86100
37706,0,1032100,639500,162300,112700,81600
37707,0,1136600,777300,117400,108300,82400
37708,0,1668600,1327200,111800,88500,98800
37709,0,1128100,743100,108900,131000,84000
37710,0,1451700,1105100,93400,114900,90800
37711,0,1292700,976300,81800,97500,87100
37712,0,983300,644000,92900,100400,98100
37713,0,2400400,1813800,138000,146100,83500
37714,0,1383000,776700,183800,120200,90000
37715,0,1469500,1043900,90200,136200,135500
37716,0,1050600,662500,107300,107400,75100
37717,0,1204200,869200,106600,99000,92400
37718,0,1899200,1556900,89300,109900,78300
37719,0,944000,619600,73100,98800,84900
37720,0,1226400,723600,149800,91200,222500
37721,0,1213000,865500,81100,136200,87400
37722,0,911200,563600,121700,99900,84900
37723,0,1047300,736500,88200,100100,81700
37724,0,1625900,1231800,189400,96900,84900
37725,0,980300,697100,94000,87200,77700
37726,0,1014900,725000,68200,90900,77300
37727,0,941500,603400,127100,105200,86000
37728,0,786700,480300,97000,89900,82400
37729,0,2014200,1504200,250200,124000,88600
37730,0,1317100,974300,78400,111700,96800
37731,0,1354800,965700,129200,91400,87800
37732,0,1142400,798500,110700,123200,72500
37733,0,782500,511100,72200,95100,81000
37734,0,1962500,1664400,88400,103900,78500
37735,0,1094100,759700,86800,106200,86000
37736,0,1386400,978900,194300,105800,85900
37737,0,1866100,1490500,144500,103300,97200
37738,0,1556700,1027700,178300,115700,82300
37739,0,1998900,1499500,219100,96300,116100
37740,0,2040600,1680600,113700,135000,83300
37741,0,1325800,1028800,84300,93700,96400
37742,0,1552800,1296100,85200,75000,77000
37743,0,1370600,1041600,121100,94300,94000
37744,0,1226700,925200,98300,84300,89600
37745,0,2021100,1576900,240600,81800,93500
37746,0,1585300,1213800,97000,102400,96700
37747,0,1571500,1199500,160000,101500,81000
37748,0,1436000,1085800,157000,95800,80800
37749,0,1314100,1027300,88100,93800,79200
37750,0,2503800,2136800,116300,91500,98400
37751,0,979000,653900,99500,100700,93500
37752,0,1382400,1051600,132800,87100,87400
37753,0,1521000,1187500,97300,109900,95000
37754,0,1485300,1163100,83600,116700,92500
37755,0,1689100,1340800,88900,108500,112000
37756,0,1677600,1089500,302900,131500,96200
37757,0,1815200,1453400,90700,117600,92100
37758,0,1433100,1066100,81400,106900,84200
37759,0,1203100,826900,116500,93900,81900
37760,0,1198400,875500,85500,99000,90700
37761,0,2142900,1565700,306200,99300,96900
37762,0,2053200,1695100,89800,94900,103400
37763,0,2071000,1704400,132000,106200,83400
37764,0,1471400,1166900,84100,100500,79000
37765,0,1621000,975300,405700,101300,99300
37766,0,2408500,1953100,167100,174600,79100
37767,0,1402500,1022300,158400,102000,96800
37768,0,1548800,1205800,118400,107800,94600
37769,0,1438300,1121400,106200,93300,78500
37770,0,1131600,784600,103700,98200,80300
37771,0,2059900,1437100,147500,244400,168000
37772,0,1679800,1117100,208600,208200,84500
37773,0,1395000,1074900,88000,103100,92800
37774,0,1379200,985300,92900,122600,116600
37775,0,1195100,770800,142900,117800,116900
37776,0,1255500,903100,86100,107500,79400
37777,0,2014200,1644200,107800,110400,88300
37778,0,1359500,988900,87600,121300,79200
37779,0,1450700,1100200,75600,95100,92700
37780,0,1255700,912800,99500,122900,93300
37781,0,930700,643600,80400,88700,86600
37782,0,1792300,1455100,118900,97200,90200
37783,0,725900,406500,83700,100400,99200
37784,0,968300,644400,81400,103500,83800
37785,0,862900,566200,73500,95000,92700
37786,0,697800,396100,74600,90700,86900
37787,0,1607100,1329000,81800,94700,76700
37788,0,812800,490700,108700,103500,81500
37789,0,1023300,550800,227300,104100,90000
37790,0,1458100,1092200,122100,104800,87300
37791,0,1181400,637700,163800,212400,86400
37792,0,1102100,748900,126100,98300,83000
37793,0,1346500,1015400,112900,98000,82600
37794,0,915400,598500,101100,105800,81200
37795,0,1246700,950300,78300,102900,82900
37796,0,1233100,901200,98300,116300,85100
37797,0,1313100,872300,182900,121400,91500
37798,0,1942200,1408600,113900,119500,85600
37799,0,1105100,589900,164900,118300,93700
37800,0,1412800,1117100,88500,97600,81100
37801,0,954900,626400,106400,105800,87900
37802,0,955200,576300,106100,100000,88500
37803,0,1773300,1455900,97800,89900,105400
37804,0,1523200,1190500,88600,115000,96400
37805,0,1373600,1016000,114800,92800,95900
37806,0,1314200,957600,78900,107700,80300
37807,0,2031300,1721000,88000,91300,88700
37808,0,964100,686500,85600,85400,87900
37809,0,1737100,1309700,211400,99500,87800
37810,0,1102800,750100,96300,105500,88400
37811,0,1042200,707800,91000,102400,116800
37812,0,1045700,714500,120300,86900,83100
37813,0,750200,433000,93900,96100,87000
37814,0,1805500,1323200,259800,76000,103000
37815,0,1156200,832300,81400,126300,79900
37816,0,1349700,1014600,148700,78300,81600
37817,0,985100,629500,132800,106200,77000
37818,0,887100,565600,81500,97300,78900
37819,0,2022500,1672400,78100,102300,80600
37820,0,862500,573200,78800,80200,84700
37821,0,1617400,954400,377400,104600,87400
37822,0,1909300,1436300,229400,98600,94200
37823,0,1609800,1293700,88100,116700,94000
37824,0,1768000,1482000,86500,93500,91000
37825,0,1708600,1386300,103400,103300,99800
37826,0,1229500,925100,75300,103500,89500
37827,0,2073100,1716300,130000,100300,91300
37828,0,1345800,972000,129800,108000,94900
37829,0,1173500,822300,115200,105500,93500
37830,0,2002700,1551500,217800,101700,97600
37831,0,1585700,1276400,75700,102700,96900
37832,0,1674200,1249200,196200,97800,99900
37833,0,1918500,1429400,208100,119700,102100
37834,0,1921700,1554600,89600,117500,82000
37835,0,1982400,1633800,111400,105000,93900
37836,0,1337700,946700,123700,106300,91900
37837,0,2000900,1646700,130800,100400,84500
37838,0,1581800,1175400,83000,121500,139700
37839,0,1334000,1000500,84600,107900,80200
37840,0,1601800,1301300,84300,105000,93400
37841,0,1643800,1122700,289300,111000,97000
37842,0,2601600,2257000,89300,112700,111100
37843,0,1878400,1534000,85700,114700,92400
37844,0,1107900,765200,118600,110600,76100
37845,0,1103600,804000,91000,85100,81000
37846,0,2347500,1779900,315200,110300,77500
37847,0,2388000,2004700,107900,158500,83800
37848,0,1950400,1559600,135400,132800,87700
37849,0,1609100,1298100,82000,106400,79700
37850,0,1497400,1144800,111100,100400,96500
37851,0,2470700,2051000,129900,96900,97900
37852,0,1588800,1167000,154700,109700,111100
37853,0,1665500,1301100,142100,98100,80100
