tick,run,wholeUpdate,entityUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate
2782,1,1750400,1215100,182900,128500,162300
2783,1,1645800,1237000,143500,128800,118800
2784,1,1737500,1342100,140200,114800,122800
2785,1,1609200,1126800,221600,121400,120000
2786,1,1743800,1335600,120700,114800,155600
2787,1,1417300,984000,162800,95000,162000
2788,1,1613400,1220500,127900,125600,119500
2789,1,1695500,1258200,175100,114200,118900
2790,1,1834800,1323700,174300,152100,140900
2791,1,1687200,1247400,137500,134000,125200
2792,1,1631200,1245600,120100,112700,117900
2793,1,1330900,950600,111900,116900,121000
2794,1,1516800,1050300,147300,124800,136200
2795,1,1596200,1094100,195400,140900,125200
2796,1,1520700,1025700,167800,97600,161700
2797,1,1395900,994300,131800,115100,121100
2798,1,1412000,990700,123500,125500,110100
2799,1,1282300,845800,176800,108800,117100
2800,1,1519000,1121200,131700,117800,125400
2801,1,1510400,1072900,155400,139200,114700
2802,1,1374400,919900,165100,115800,150100
2803,1,1395200,937200,150600,122000,149800
2804,1,1790300,1372200,126300,131400,134300
2805,1,1303800,804900,182700,130600,154400
2806,1,1854700,1334800,174000,130500,145300
2807,1,1522800,1102000,117600,110500,163200
2808,1,1669800,1247100,140000,131700,124900
2809,1,1512200,1054500,143000,127500,162900
2810,1,1243000,879000,112100,107700,113300
2811,1,1613500,1129200,154600,120900,133800
2812,1,1406900,957600,150400,125800,122600
2813,1,1397900,1002000,140300,108700,116900
2814,1,1342900,916600,154900,120500,120000
2815,1,1506200,1071200,138400,109200,157000
2816,1,1599700,1044500,198000,139700,184100
2817,1,1757500,1340200,132100,133500,117000
2818,1,1626100,1044400,253700,114300,121900
2819,1,1793600,1266800,219700,115000,146200
2820,1,1686200,1268000,128100,132500,129500
2821,1,1627200,1182400,154000,146500,121000
2822,1,1844600,1306900,137800,227000,150300
2823,1,1670200,1239500,142500,117500,144100
2824,1,1720600,1236600,188300,131300,120100
2825,1,1542900,1154700,110000,114200,117700
2826,1,1496800,996000,173200,115600,143100
2827,1,2345000,1707200,151200,264600,179300
2828,1,1779300,1284500,209900,117800,129800
2829,1,1500100,1122600,115900,125000,105100
2830,1,1476600,1018300,142500,103500,147600
2831,1,1728400,1152600,186300,125900,157500
2832,1,1558700,1115600,120300,158000,116000
2833,1,1418300,1038600,126700,104200,125100
2834,1,1390100,948800,171900,124700,114800
2835,1,1364400,974700,122000,113600,117300
2836,1,1488300,1070900,137300,110300,130200
2837,1,1543200,1059100,175900,137500,119400
2838,1,1550800,1045700,190400,95300,144100
2839,1,1782000,1323200,145300,139200,119100
2840,1,1577300,1159200,146100,112300,124800
2841,1,1523100,1013600,142600,117500,165900
2842,1,1462900,994100,139000,127500,138800
2843,1,1493500,1035900,121500,145700,161100
2844,1,1538300,1133100,125700,128800,121000
2845,1,1440400,1005800,167200,129600,111200
2846,1,1365100,939500,129500,111100,157700
2847,1,1494600,1091100,130900,133400,120000
2848,1,1540400,1070000,194000,127100,122800
2849,1,1311300,905900,126100,123400,114800
2850,1,1450900,983500,151900,122100,148900
2851,1,1528000,1095400,153400,110100,124300
2852,1,1514900,1091500,154100,110400,117500
2853,1,1377100,994100,114200,110900,119700
2854,1,1492200,1035100,130400,108500,151500
2855,1,1709900,1261100,161100,130200,112700
2856,1,1535500,1085200,132100,118800,121300
2857,1,1360800,961200,115700,108000,123900
2858,1,1338700,809000,182700,115400,163200
2859,1,1544000,1111100,145400,107300,134200
2860,1,1453600,1034300,142000,125100,124000
2861,1,1618500,1078300,265300,121300,122500
2862,1,1525500,1100400,147000,111100,135500
2863,1,1578900,1120400,162800,98600,167100
2864,1,1525500,1099600,124200,113300,112200
2865,1,1719400,1206100,151300,112100,119400
2866,1,1572900,1082100,129100,142900,120700
2867,1,1701700,1207100,181700,144900,143900
2868,1,1756200,1330100,141000,133200,125900
2869,1,1588600,1207600,125000,113400,113600
2870,1,1706300,1173600,219800,119300,156900
2871,1,1893500,1422000,162300,109700,122700
2872,1,1594100,1136200,170200,126700,122400
2873,1,1669200,1264200,138500,118500,117300
2874,1,1499500,1078500,160700,111700,120000
2875,1,1718400,1312900,121800,105700,151400
2876,1,1791200,1358000,116700,126400,152200
2877,1,1817300,1339700,166700,137800,140000
2878,1,1725900,1206000,136000,153500,120300
2879,1,1667700,1180000,145100,131700,163900
2880,1,1619500,1175200,141700,133400,128500
2881,1,1452800,998000,168500,110900,151100
2882,1,1424600,1007200,123700,146600,121500
2883,1,1498300,1117600,123500,114800,112900
2884,1,1480900,1043500,172900,124300,117300
2885,1,1896900,1471400,123400,109300,159700
2886,1,1437300,985200,127900,127500,118000
2887,1,1562900,1063500,178500,129200,160000
2888,1,1508200,1058900,157300,122600,148700
2889,1,1570600,1156600,129500,112400,147600
2890,1,1611400,1084600,184000,145300,127000
2891,1,1542300,1118500,131600,133700,119300
2892,1,1526500,1148900,119800,118600,113100
2893,1,1558800,1131100,140500,116000,149400
2894,1,1305300,856900,143900,114900,166000
2895,1,1576100,1122000,120300,116800,122600
2896,1,1456300,1046200,142000,114500,121800
2897,1,1335900,922800,137700,104600,133800
2898,1,1407000,948100,139600,127300,117400
2899,1,1307200,928000,112600,116600,110100
2900,1,1213500,795300,140400,123400,131100
2901,1,1503800,954700,198800,126900,160800
2902,1,1788600,1303800,124800,122700,173600
2903,1,1542400,1034400,242300,122700,121700
2904,1,1423700,994600,190900,106700,113400
2905,1,1613500,1264300,113100,103000,115800
2906,1,1602600,1201300,143700,118500,119100
2907,1,1705900,1329300,131200,101000,127200
2908,1,1644200,1218300,128400,139000,132900
