tick,run,wholeUpdate,entityUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate
3316,0,691500,417200,79800,75700,84900
3317,0,585200,294200,87200,77300,89400
3318,0,2122600,1802400,89700,77800,93000
3319,0,522600,199100,87600,83300,91400
3320,0,997800,723700,88400,76100,84300
3321,0,536000,225900,96800,79000,84500
3322,0,572100,293300,78700,70800,84300
3323,0,1943500,1660400,105600,70700,93600
3324,0,724400,425500,100100,85100,97700
3325,0,1169900,540200,446000,78700,89500
3326,0,1123500,879700,78700,69100,81400
3327,0,541300,280900,83400,85200,78400
3328,0,2145000,1838400,127300,66600,96700
3329,0,637700,315500,91600,84000,120200
3330,0,2769200,1775700,754300,92600,104600
3331,0,4497300,4132400,98000,107600,119100
3332,0,3702200,3355400,90800,90300,111400
3333,0,2173800,1843400,92700,87400,100400
3334,0,4679600,4113300,100900,87700,293800
3335,0,3625200,3239900,111200,98500,108500
3336,0,1899000,1496400,91200,94600,121100
3337,0,2134700,1681200,189200,83200,119100
3338,0,2161300,1785200,91300,80900,120100
3339,0,3796300,3392900,115400,79600,118800
3340,0,1792400,1430900,109300,92900,115700
3341,0,1291300,791400,95500,82700,282900
3342,0,1049700,535600,119000,243900,113800
3343,0,1089000,741100,83300,134200,88900
3344,0,3042200,2689600,105400,88400,119300
3345,0,959000,572200,100400,125000,110100
3346,0,1217700,885800,81500,78400,94500
3347,0,1136300,599300,258100,92000,151500
3348,0,761900,384200,143200,95800,105100
3349,0,738200,302000,89400,119300,123400
3350,0,2588500,2257000,104300,74400,105000
3351,0,1072500,680300,95400,113800,97700
3352,0,724000,413900,83400,75900,95700
3353,0,530100,217000,86200,99100,88400
3354,0,645600,339500,82600,80600,98300
3355,0,2311400,1952000,117700,107000,95900
3356,0,750300,422000,92400,89500,93600
3357,0,942400,626200,91700,75900,101700
3358,0,736100,368900,83400,79900,93900
3359,0,594900,225200,129100,73600,96000
3360,0,2231700,1917500,103300,71700,101300
3361,0,654400,307900,100700,99800,101000
3362,0,1234300,806100,182100,71300,139000
3363,0,528100,184500,100000,112000,92500
3364,0,646000,342100,91200,68300,98400
3365,0,514600,198600,89200,89400,90200
3366,0,2268900,1949200,82500,67200,99800
3367,0,966600,604800,109200,104500,100900
3368,0,986700,339300,442400,69200,105500
3369,0,1111800,772600,105300,100200,98700
3370,0,784600,470400,97600,61200,93200
3371,0,2158900,1778800,152000,109000,89000
3372,0,920200,581100,91200,68200,143400
3373,0,1907600,1526600,82800,91600,83100
3374,0,1428200,1047900,92200,113400,87400
3375,0,1117000,810400,88500,93800,96900
3376,0,2541600,2235600,106300,74300,95600
3377,0,962100,653900,93400,73500,98900
3378,0,1227800,908900,73600,78200,101800
3379,0,584100,266200,88700,78800,86700
3380,0,699700,425100,85500,76000,81800
3381,0,683300,318700,84300,90500,136400
3382,0,2194900,1878100,86800,63500,116200
3383,0,1001000,682200,109400,93900,99300
3384,0,998500,505700,109800,255000,96100
3385,0,636900,294100,105000,104600,100600
3386,0,713200,407400,89800,100800,84900
3387,0,1988000,1666900,87700,103900,94100
3388,0,634400,319400,101500,86500,97900
3389,0,925700,606100,87600,94600,88700
3390,0,731600,365600,121700,105400,88600
3391,0,540300,242100,81900,83000,91800
3392,0,2294700,1961500,122100,92400,80700
3393,0,485700,186300,92400,92100,80700
3394,0,1176600,752300,89600,192300,79900
3395,0,588800,288000,88500,81600,93700
3396,0,710500,358400,84600,111400,83800
3397,0,462800,168700,99600,68000,96000
3398,0,2090500,1747200,100300,90000,99600
3399,0,972700,668900,83400,81500,77000
3400,0,776700,481300,94800,81000,92900
3401,0,507800,203500,89600,85100,97300
3402,0,600300,327000,82500,76500,86800
3403,0,1950800,1620100,87100,72100,145400
3404,0,1092800,815700,92900,70400,87600
3405,0,495300,178800,88300,80500,102500
3406,0,644200,328100,83300,82000,86400
3407,0,501300,208000,92300,76900,94000
3408,0,2089000,1736400,82200,65500,170900
3409,0,632400,231800,113800,140700,100600
3410,0,1259600,589100,459400,72300,96000
3411,0,1001500,635900,105100,73000,129400
3412,0,708600,408000,93300,79900,87700
3413,0,2228100,1811900,154800,81700,82700
3414,0,747600,421000,113500,81700,100500
3415,0,2335900,1339200,792300,69200,106200
3416,0,5321500,4920200,151000,89600,117600
3417,0,3051400,2702200,113500,89800,97500
3418,0,2306800,1871400,92000,102900,117800
3419,0,4117300,3753700,89000,85500,111400
3420,0,2726900,2405300,105800,72900,98600
3421,0,1451700,1097200,105300,87100,126900
3422,0,1820500,1417300,185900,77300,114300
3423,0,1783500,1491200,85600,76300,100100
3424,0,3342300,3045800,100200,69400,91700
3425,0,1256000,951400,94000,83100,85400
3426,0,895100,556700,96900,73800,86400
3427,0,501000,175400,107600,77700,108200
3428,0,930900,640400,65500,101100,100300
3429,0,2441400,2127000,88000,98800,92400
3430,0,1216900,806600,104900,120400,103200
3431,0,863000,562500,85000,90400,96200
3432,0,683500,396900,71400,102400,85500
3433,0,504200,196500,95100,70600,102600
3434,0,893800,582700,80800,109000,81200
3435,0,2103600,1695200,83700,186100,87300
3436,0,942300,480800,93700,225900,95500
3437,0,555800,234500,79800,92800,91800
3438,0,801000,404000,117300,95200,105600
3439,0,610800,238000,83300,83800,131700
3440,0,2581000,2185800,95100,118300,122000
3441,0,691300,338600,98800,88400,94000
3442,0,674500,339300,92100,88100,87500
3443,0,509300,245000,82800,72200,78700
3444,0,741500,449600,84200,85100,94100
3445,0,2031400,1746500,97300,75600,83100
