tick,run,wholeUpdate,entityUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate
2294,0,1772500,1516300,95300,53700,87800
2295,0,1320200,1056200,74500,87600,80300
2296,0,1448500,1163400,83500,91400,81400
2297,0,805100,517700,111600,54900,98300
2298,0,1445700,1123900,110600,72800,88500
2299,0,2572400,2254700,109000,72100,100800
2300,0,749600,455000,109500,66600,89600
2301,0,930400,623200,88000,77700,85000
2302,0,660000,388900,75300,68400,83900
2303,0,423700,201800,76800,51600,81600
2304,0,523000,313100,78700,42400,80500
2305,0,2547200,2241100,108900,78000,105000
2306,0,653500,363500,98500,79200,89100
2307,0,580600,305500,93800,74300,90600
2308,0,538600,289400,71400,73400,89300
2309,0,483800,224700,88900,59800,88500
2310,0,507800,278800,75400,48800,80700
2311,0,2435700,2156000,85600,65300,98900
2312,0,666800,319100,92000,64500,102600
2313,0,559100,247600,116600,88000,82500
2314,0,533600,268200,76700,60700,80600
2315,0,1078400,812900,93300,50400,89700
2316,0,676500,356300,99300,66100,89100
2317,0,2488400,2182900,97200,72000,94800
2318,0,1375500,1072600,90200,64100,89900
2319,0,534100,264100,83100,64300,85300
2320,0,2083500,1846300,86100,49700,83400
2321,0,498100,203500,97800,74400,100500
2322,0,578700,301100,82600,70400,101300
2323,0,2620900,2334000,91900,85200,86500
2324,0,604900,338400,80800,78100,82200
2325,0,568100,300700,87800,66700,84000
2326,0,598500,325800,89100,57700,77100
2327,0,441800,195600,80500,65800,78400
2328,0,523500,291300,82000,55300,78100
2329,0,2143500,1868800,88500,66400,99400
2330,0,609400,286200,110000,77800,104000
2331,0,661100,307200,105200,99600,81100
2332,0,654000,352900,88900,64900,106000
2333,0,525200,228200,105800,78500,79200
2334,0,539000,293900,80600,53400,85500
2335,0,2264800,2013400,86800,53400,88300
2336,0,602900,330500,88600,71700,85400
2337,0,859200,244600,450100,54200,90700
2338,0,1281100,977000,87000,51100,89900
2339,0,641500,355800,105300,53800,91800
2340,0,919300,528900,188800,63600,106800
2341,0,2809200,2320700,104700,261800,90400
2342,0,1838100,1591400,78200,53800,88600
2343,0,1484000,1223200,80300,66500,88000
2344,0,1574000,1309600,95200,55200,86800
2345,0,965900,553100,115500,168200,90800
2346,0,1539400,1221200,79600,68000,81900
2347,0,2610800,2335700,87900,65400,85500
2348,0,658900,380200,92700,57800,102500
2349,0,701100,425400,80700,78700,81000
2350,0,756100,462600,97600,39700,87200
2351,0,474000,198000,84700,74200,87600
2352,0,595700,327200,74800,80300,78700
2353,0,2704500,2304700,98000,180800,88100
2354,0,637300,327700,95300,61600,91900
2355,0,1275500,307500,678000,78400,92100
2356,0,4063200,3612600,224400,55800,104000
2357,0,2390400,2070200,133200,76400,82100
2358,0,2234400,1910200,95400,75400,85500
2359,0,3937100,3605100,108700,60800,123600
2360,0,2958400,2647100,113600,65100,101700
2361,0,2315700,1982300,99000,72200,102800
2362,0,2582400,2165200,178300,84000,91900
2363,0,2175300,1840400,132800,96900,87100
2364,0,1803000,1524300,110000,61300,91300
2365,0,2989800,2667000,101300,115100,89300
2366,0,1184300,921700,95000,63200,87100
2367,0,944000,661500,107800,72500,84200
2368,0,844600,597400,84200,61900,83000
2369,0,575800,308200,85700,67700,86700
2370,0,617600,351000,86300,58300,82500
2371,0,2418300,2110800,107300,77500,86000
2372,0,655100,356500,97100,72900,89400
2373,0,603900,308000,92800,80500,88000
2374,0,653300,362800,82200,62600,88400
2375,0,480700,225700,80400,62100,86400
2376,0,638900,312600,86900,46800,87700
2377,0,2554900,2164700,121900,149300,97400
2378,0,614100,322900,82900,59500,90600
2379,0,542300,264500,79000,84800,85400
2380,0,592400,342000,92900,56800,81000
2381,0,456100,205500,76400,61100,97000
2382,0,531300,288900,86600,58100,80100
2383,0,2229800,1967400,85700,49700,111600
2384,0,610400,331400,94600,55000,100100
2385,0,1086200,346300,537600,70400,104200
2386,0,1265800,958800,84300,91900,84500
2387,0,657500,339400,103500,75500,121400
2388,0,796800,436700,160300,82000,98400
2389,0,2745100,2441000,102400,89000,89200
2390,0,2050200,1757700,108300,66900,88600
2391,0,1636200,1302000,95200,94700,89700
2392,0,1674100,1413200,83300,60100,81800
2393,0,869800,601900,74300,64200,95500
2394,0,1281900,1015000,93200,54700,90200
2395,0,2757600,2458900,100200,77100,96800
2396,0,774100,468200,111200,77100,84400
2397,0,734600,421800,96600,102400,88500
2398,0,792100,423700,86600,96800,103900
2399,0,477100,196700,87700,72700,78100
2400,0,1208100,922000,89100,79000,83500
2401,0,2488100,2207000,95300,66100,86000
2402,0,614100,340700,90000,50900,92000
2403,0,691300,357100,102500,104100,98700
2404,0,581100,321300,86200,59400,85200
2405,0,552800,200800,83200,145600,90900
2406,0,622900,313600,108100,65000,82000
2407,0,2214300,1944000,93200,62500,84900
2408,0,543100,285600,87500,56300,87100
2409,0,549400,298600,85400,55000,83900
2410,0,558100,281600,87600,52600,90400
2411,0,491100,208600,99100,59400,100900
2412,0,610800,346500,83600,66900,84300
2413,0,2154200,1871700,97100,76800,82900
2414,0,622200,333100,97700,71900,93800
2415,0,598800,302300,97100,79600,85000
2416,0,610500,307500,85700,65500,112000
2417,0,500600,217000,100300,65700,86800
2418,0,576600,276100,82600,53600,101600
2419,0,2332100,2016300,97600,75500,104400
2420,0,557500,289800,94500,60100,83800
